,High0,Low0,Close0,Volume0,High1,Low1,Close1,Volume1,High2,Low2,Close2,Volume2,High3,Low3,Close3,Volume3,High4,Low4,Close4,Volume4,High5,Low5,Close5,Volume5,High6,Low6,Close6,Volume6,High7,Low7,Close7,Volume7,High8,Low8,Close8,Volume8
0,37.6875,36.4375,37.0,245500.0,37.25,36.125,36.8125,243600.0,37.0,36.6875,36.9375,405500.0,37.5,35.75,37.5,405700.0,37.375,36.375,36.875,195600.0,36.75,35.75,36.0625,260500.0,36.25,35.625,36.0625,180600.0,36.125,34.75,36.125,703300.0,36.25,35.25,35.5625,1029500.0
1,37.25,36.125,36.8125,243600.0,37.0,36.6875,36.9375,405500.0,37.5,35.75,37.5,405700.0,37.375,36.375,36.875,195600.0,36.75,35.75,36.0625,260500.0,36.25,35.625,36.0625,180600.0,36.125,34.75,36.125,703300.0,36.25,35.25,35.5625,1029500.0,35.75,35.125,35.3125,1406500.0
2,37.0,36.6875,36.9375,405500.0,37.5,35.75,37.5,405700.0,37.375,36.375,36.875,195600.0,36.75,35.75,36.0625,260500.0,36.25,35.625,36.0625,180600.0,36.125,34.75,36.125,703300.0,36.25,35.25,35.5625,1029500.0,35.75,35.125,35.3125,1406500.0,35.3125,34.75,35.3125,157300.0
3,37.5,35.75,37.5,405700.0,37.375,36.375,36.875,195600.0,36.75,35.75,36.0625,260500.0,36.25,35.625,36.0625,180600.0,36.125,34.75,36.125,703300.0,36.25,35.25,35.5625,1029500.0,35.75,35.125,35.3125,1406500.0,35.3125,34.75,35.3125,157300.0,36.875,35.9375,36.75,1698400.0
4,37.375,36.375,36.875,195600.0,36.75,35.75,36.0625,260500.0,36.25,35.625,36.0625,180600.0,36.125,34.75,36.125,703300.0,36.25,35.25,35.5625,1029500.0,35.75,35.125,35.3125,1406500.0,35.3125,34.75,35.3125,157300.0,36.875,35.9375,36.75,1698400.0,38.375,37.0,38.0,589700.0
5,36.75,35.75,36.0625,260500.0,36.25,35.625,36.0625,180600.0,36.125,34.75,36.125,703300.0,36.25,35.25,35.5625,1029500.0,35.75,35.125,35.3125,1406500.0,35.3125,34.75,35.3125,157300.0,36.875,35.9375,36.75,1698400.0,38.375,37.0,38.0,589700.0,38.3125,37.625,37.6875,716300.0
6,36.25,35.625,36.0625,180600.0,36.125,34.75,36.125,703300.0,36.25,35.25,35.5625,1029500.0,35.75,35.125,35.3125,1406500.0,35.3125,34.75,35.3125,157300.0,36.875,35.9375,36.75,1698400.0,38.375,37.0,38.0,589700.0,38.3125,37.625,37.6875,716300.0,39.1875,37.4375,39.125,1333100.0
7,36.125,34.75,36.125,703300.0,36.25,35.25,35.5625,1029500.0,35.75,35.125,35.3125,1406500.0,35.3125,34.75,35.3125,157300.0,36.875,35.9375,36.75,1698400.0,38.375,37.0,38.0,589700.0,38.3125,37.625,37.6875,716300.0,39.1875,37.4375,39.125,1333100.0,40.0,39.25,39.9375,1840400.0
8,36.25,35.25,35.5625,1029500.0,35.75,35.125,35.3125,1406500.0,35.3125,34.75,35.3125,157300.0,36.875,35.9375,36.75,1698400.0,38.375,37.0,38.0,589700.0,38.3125,37.625,37.6875,716300.0,39.1875,37.4375,39.125,1333100.0,40.0,39.25,39.9375,1840400.0,42.0,39.75,41.75,1023700.0
9,35.75,35.125,35.3125,1406500.0,35.3125,34.75,35.3125,157300.0,36.875,35.9375,36.75,1698400.0,38.375,37.0,38.0,589700.0,38.3125,37.625,37.6875,716300.0,39.1875,37.4375,39.125,1333100.0,40.0,39.25,39.9375,1840400.0,42.0,39.75,41.75,1023700.0,42.75,42.0,42.5625,788200.0
10,35.3125,34.75,35.3125,157300.0,36.875,35.9375,36.75,1698400.0,38.375,37.0,38.0,589700.0,38.3125,37.625,37.6875,716300.0,39.1875,37.4375,39.125,1333100.0,40.0,39.25,39.9375,1840400.0,42.0,39.75,41.75,1023700.0,42.75,42.0,42.5625,788200.0,44.375,41.5,44.0,3477000.0
11,36.875,35.9375,36.75,1698400.0,38.375,37.0,38.0,589700.0,38.3125,37.625,37.6875,716300.0,39.1875,37.4375,39.125,1333100.0,40.0,39.25,39.9375,1840400.0,42.0,39.75,41.75,1023700.0,42.75,42.0,42.5625,788200.0,44.375,41.5,44.0,3477000.0,44.25,43.75,44.0625,907200.0
12,38.375,37.0,38.0,589700.0,38.3125,37.625,37.6875,716300.0,39.1875,37.4375,39.125,1333100.0,40.0,39.25,39.9375,1840400.0,42.0,39.75,41.75,1023700.0,42.75,42.0,42.5625,788200.0,44.375,41.5,44.0,3477000.0,44.25,43.75,44.0625,907200.0,44.0,43.625,43.75,728300.0
